User ID,Username,Time Entry ID,Billable,Time Labels,Start,Start Text,Stop,Stop Text,Time Tracked,Time Tracked Text,Space ID,Space Name,Folder ID,Job Number,List ID,Task ID,Task Name,Task Status,Due Date,Due Date Text,Start Date,Start Date Text,Task Time Estimated,Task Time Estimated Text,Task Time Spent,Task Time Spent Text,User Total Time Estimated,User Total Time Estimated Text,User Total Time Tracked,User Total Time Tracked Text,Tags,Checklists,User Period Time Spent,User Period Time Spent Text,Date Created,Date Created Text,Custom Task ID,Parent Task ID,Booking Codes,DAYS WORKED,Team,DAYS LATE,Days Late,Deadline,ECO
48293477,John,3.18082E+18,FALSE,[],1.66495E+12,"10/05/2022, 8:12:00 AM BST",1.66496E+12,"10/05/2022, 8:42:00 AM BST",1800000,30 m,32648345,MECH Team,98524943,25306,182472686,2ghbg2u,Misc Meetings,open-ended,,,,,,,163800000,45 h 30 m,264600000,73 h 30 m,547200000,152 h ,[],{},28800000,8 h ,1.65537E+12,"06/16/2022, 10:30:35 AM BST",,,INDR-MTNG,1,Mech,,,,
48293477,John,3.18081E+18,FALSE,[],1.66503E+12,"10/06/2022, 6:07:00 AM BST",1.66504E+12,"10/06/2022, 8:37:00 AM BST",9000000,2 h 30 m,32648345,MECH Team,110592140,D3333-1,200462387,2vzh9fw,Engineering Tests,complete,1.66511E+12,"10/07/2022, 4:00:00 AM BST",1.66416E+12,"09/26/2022, 4:00:00 AM BST",63000000,17 h 30 m,228600000,63 h 30 m,264600000,73 h 30 m,547200000,152 h ,[],{},180000000,50 h ,1.66375E+12,"09/21/2022, 10:18:32 AM BST",,,SUPP-PROD,,Mech,,,,
48293477,John,3.18082E+18,FALSE,[],1.66503E+12,"10/06/2022, 6:09:00 AM BST",1.66504E+12,"10/06/2022, 8:39:00 AM BST",9000000,2 h 30 m,32648345,MECH Team,98524943,25306,182472686,2jaev19,Production Support,open-ended,,,,,,,275400000,76 h 30 m,264600000,73 h 30 m,547200000,152 h ,[],{},21600000,6 h ,1.65651E+12,"06/29/2022, 2:51:38 PM BST",,,SUPP-PROD,1,Mech,,,,
48293477,John,3.18081E+18,FALSE,[],1.66503E+12,"10/06/2022, 6:36:00 AM BST",1.66504E+12,"10/06/2022, 8:36:00 AM BST",7200000,2 h ,32648345,MECH Team,110592140,D3333-1,200462387,2vzh9fw,Engineering Tests,complete,1.66511E+12,"10/07/2022, 4:00:00 AM BST",1.66416E+12,"09/26/2022, 4:00:00 AM BST",63000000,17 h 30 m,228600000,63 h 30 m,264600000,73 h 30 m,547200000,152 h ,[],{},180000000,50 h ,1.66375E+12,"09/21/2022, 10:18:32 AM BST",,,SUPP-PROD,,Mech,,,,
48293477,John,3.18081E+18,FALSE,[],1.66504E+12,"10/06/2022, 7:59:00 AM BST",1.66504E+12,"10/06/2022, 8:29:00 AM BST",1800000,30 m,32648345,MECH Team,98524943,25306,182472686,2ghbg2u,Misc Meetings,open-ended,,,,,,,163800000,45 h 30 m,264600000,73 h 30 m,547200000,152 h ,[],{},28800000,8 h ,1.65537E+12,"06/16/2022, 10:30:35 AM BST",,,INDR-MTNG,1,Mech,,,,
48293477,John,3.18082E+18,FALSE,[],1.66512E+12,"10/07/2022, 5:38:00 AM BST",1.66513E+12,"10/07/2022, 8:38:00 AM BST",10800000,3 h ,32648345,MECH Team,110592140,D3333-1,200462387,2vzh9fw,Engineering Tests,complete,1.66511E+12,"10/07/2022, 4:00:00 AM BST",1.66416E+12,"09/26/2022, 4:00:00 AM BST",63000000,17 h 30 m,228600000,63 h 30 m,264600000,73 h 30 m,547200000,152 h ,[],{},180000000,50 h ,1.66375E+12,"09/21/2022, 10:18:32 AM BST",,,SUPP-PROD,,Mech,,,,
48293477,John,3.18082E+18,FALSE,[],1.66512E+12,"10/07/2022, 7:41:00 AM BST",1.66513E+12,"10/07/2022, 8:41:00 AM BST",3600000,1 h ,32648345,MECH Team,98524943,25306,182472686,2jaev19,Production Support,open-ended,,,,,,,275400000,76 h 30 m,264600000,73 h 30 m,547200000,152 h ,[],{},21600000,6 h ,1.65651E+12,"06/29/2022, 2:51:38 PM BST",,,SUPP-PROD,1,Mech,,,,
48293477,John,3.18082E+18,FALSE,[],1.66512E+12,"10/07/2022, 7:41:00 AM BST",1.66513E+12,"10/07/2022, 8:41:00 AM BST",3600000,1 h ,32648345,MECH Team,98524943,25306,182472686,2jaev19,Production Support,open-ended,,,,,,,275400000,76 h 30 m,264600000,73 h 30 m,547200000,152 h ,[],{},21600000,6 h ,1.65651E+12,"06/29/2022, 2:51:38 PM BST",,,SUPP-PROD,1,Mech,,,,
48293477,John,3.18082E+18,FALSE,[],1.66513E+12,"10/07/2022, 7:45:00 AM BST",1.66513E+12,"10/07/2022, 8:45:00 AM BST",3600000,1 h ,38457801,JOBS,110607778,30584,200488818,2waxgcw,BOM Release,complete,1.66554E+12,"10/12/2022, 4:00:00 AM BST",1.66546E+12,"10/11/2022, 4:00:00 AM BST",14400000,4 h ,25200000,7 h ,264600000,73 h 30 m,547200000,152 h ,"[""eng release""]","{""Checklist"":[""GA Creation""]}",25200000,7 h ,1.66395E+12,"09/23/2022, 5:16:47 PM BST",,,MECH-DESIGN,2,Mech,6,6,"10/05/2022, 4:00:00 AM BST",
48293477,John,3.18082E+18,FALSE,[],1.66513E+12,"10/07/2022, 7:45:00 AM BST",1.66513E+12,"10/07/2022, 8:45:00 AM BST",3600000,1 h ,38457801,JOBS,110607778,30584,200488818,2waxgcw,BOM Release,complete,1.66554E+12,"10/12/2022, 4:00:00 AM BST",1.66546E+12,"10/11/2022, 4:00:00 AM BST",14400000,4 h ,25200000,7 h ,264600000,73 h 30 m,547200000,152 h ,"[""eng release""]","{""Checklist"":[""GA Creation""]}",25200000,7 h ,1.66395E+12,"09/23/2022, 5:16:47 PM BST",,,MECH-DESIGN,2,Mech,6,6,"10/05/2022, 4:00:00 AM BST",
48293477,John,3.18082E+18,FALSE,[],1.66513E+12,"10/07/2022, 8:12:00 AM BST",1.66513E+12,"10/07/2022, 8:42:00 AM BST",1800000,30 m,32648345,MECH Team,98524943,25306,182472686,2h8bbub,Timesheets,open-ended,,,,,,,57600000,16 h ,264600000,73 h 30 m,547200000,152 h ,[],{},9000000,2 h 30 m,1.65582E+12,"06/21/2022, 2:09:47 PM BST",,,ENG-INDRCT,1,Mech,,,,
48293477,John,3.18095E+18,FALSE,[],1.66539E+12,"10/10/2022, 9:54:01 AM BST",1.6654E+12,"10/10/2022, 10:54:01 AM BST",3600000,1 h ,32648345,MECH Team,98524943,25306,182472686,2yfhjgg,CR-6362 SRY-320 Rear Retention,complete,1.66554E+12,"10/12/2022, 4:00:00 AM BST",,,,,25200000,7 h ,264600000,73 h 30 m,547200000,152 h ,[],{},25200000,7 h ,1.6654E+12,"10/10/2022, 10:53:17 AM BST",,,CHNG-GENL,-21,Mech,,,,CR-6362
